LOG2_L1_Size,aat
11.0,2.5391
12.0,1.8457
13.0,1.2540
14.0,0.9782
15.0,0.9090
16.0,0.9088
17.0,0.9400
18.0,1.0115
19.0,1.1325
20.0,1.2679
