LOG2_L1_Size,aat
11.0,3.3955
12.0,2.3674
13.0,1.6576
14.0,1.2246
15.0,1.0744
16.0,1.0232
17.0,1.0765
18.0,1.0113
19.0,1.1233
20.0,1.2559
