LOG2_L1_Size,Miss_Rate
11.0,0.0745
12.0,0.0403
13.0,0.0258
14.0,0.0107
15.0,0.0087
16.0,0.0086
17.0,0.0085
18.0,0.0085
19.0,0.0085
20.0,0.0085
