LOG2_L1_Size,aat
11.0,2.1168
12.0,1.5252
13.0,1.1509
14.0,0.8663
15.0,0.8624
16.0,0.8921
17.0,0.9468
18.0,1.0160
19.0,1.1385
20.0,1.2620
