LOG2_L1_Size,aat
11.0,1.9952
12.0,1.1803
13.0,1.1124
14.0,0.8621
15.0,0.8659
16.0,0.9034
17.0,0.9665
18.0,1.0214
19.0,1.1447
20.0,1.2703
