LOG2_L1_Size,Miss_Rate
11.0,0.0942
12.0,0.0629
13.0,0.0343
14.0,0.0182
15.0,0.0118
16.0,0.0100
17.0,0.0085
18.0,0.0085
19.0,0.0085
20.0,0.0085
