LOG2_L1_Size,Miss_Rate
11.0,0.0720
12.0,0.0370
13.0,0.0256
14.0,0.0087
15.0,0.0087
16.0,0.0085
17.0,0.0085
18.0,0.0085
19.0,0.0085
20.0,0.0085
